Date and time(Y-M-D_h-m), Success?, Duration, Time Compeleted
23-05-07_19-36,True,1,1
23-05-07_19-51,True,1,1
23-05-07_19-53,True,1,1
23-05-07_19-58,True,60,60
23-05-07_19-59,True,6,6
23-05-07_20-00,True,9,9
23-05-07_21-20,True,180,180
23-05-07_23-31,True,60,60
23-05-07_23-31,True,60,60
23-05-07_23-47,True,60,60
23-05-07_23-47,False,60,8
23-05-07_23-47,True,60,60
23-05-07_23-48,True,60,60
23-05-07_23-55,True,60,60
23-05-08_00-02,True,5,5
23-05-08_00-04,True,20,20
23-05-08_11-04,True,1,1
23-05-09_21-01,True,40,40
23-05-10_19-55,False,20,5
23-05-11_23-52,False,20,6
23-05-17_10-29,True,60,60
23-05-17_12-41,True,60,60
23-05-17_13-02,True,20,20
23-05-17_13-23,True,20,20
23-05-17_14-33,True,20,20
23-05-17_20-51,True,20,20
23-05-18_09-20,True,60,60
23-05-18_12-54,True,60,60
23-05-18_14-01,True,60,60
23-05-18_15-06,True,60,60
23-05-18_15-07,False,60,0
23-05-18_23-15,False,60,24
23-05-19_21-15,True,360,360
23-05-20_13-13,False,480,222
23-05-20_19-02,True,258,258
23-05-21_17-41,True,480,480
23-05-22_21-21,True,360,360
23-05-24_07-20,False,480,451
23-05-24_14-42,False,480,245
23-05-24_22-27,True,235,235
23-05-25_08-46,False,360,0
23-05-25_10-17,False,360,58
23-05-25_22-43,True,2,2
23-05-26_10-42,False,480,120
23-05-26_22-40,False,359,320
23-05-26_22-54,False,30,11
